Date,Close
2023-04-27,29126.26
2023-04-26,29636.38
2023-04-25,28320.8
2023-04-24,27519.8
2023-04-23,27580.9
2023-04-22,27824.5
2023-04-21,27253.8
2023-04-20,28261.9
2023-04-19,28807.9
2023-04-18,30379.7
2023-04-17,29433
2023-04-16,30326.6
2023-04-15,30324.1
2023-04-14,30506.8
2023-04-13,30393.9
2023-04-12,29895.5
2023-04-11,30252.9
2023-04-10,29658.7
2023-04-09,28343.2
2023-04-08,27950.6
2023-04-07,27929.8
2023-04-06,28042.1
2023-04-05,28182.5
2023-04-04,28181.3
2023-04-03,27817.8
2023-04-02,28202.5
2023-04-01,28475
2023-03-31,28476.4
2023-03-30,28033.2
2023-03-29,28348.2
2023-03-28,27274.1
2023-03-27,27159.8
2023-03-26,28007.9
2023-03-25,27493.4
2023-03-24,27466.1
2023-03-23,28352.9
2023-03-22,27339
2023-03-21,28200.5
2023-03-20,27823.1
2023-03-19,27985.1
2023-03-18,27007.2
2023-03-17,27385.9
2023-03-16,25055.6
2023-03-15,24367
2023-03-14,24762.6
2023-03-13,24212.1
2023-03-12,22153.7
2023-03-11,20646.7
2023-03-10,20207.1
2023-03-09,20358.7
2023-03-08,21698.3
2023-03-07,22195.7
2023-03-06,22406.5
2023-03-05,22435.9
2023-03-04,22338.4
2023-03-03,22358.1
2023-03-02,23468.2
2023-03-01,23631.5
2023-02-28,23135.4
2023-02-27,23499.4
2023-02-26,23535.5
2023-02-25,23173.7
2023-02-24,23198.5
2023-02-23,23951.5
2023-02-22,24189.5
2023-02-21,24454.4
2023-02-20,24809.3
2023-02-19,24336.7
2023-02-18,24650.2
2023-02-17,24561.6
2023-02-16,23516.1
2023-02-15,24329.9
2023-02-14,22206.2
2023-02-13,21834.4
2023-02-12,21789.8
2023-02-11,21877.6
2023-02-10,21628.9
2023-02-09,21800.6
2023-02-08,22950.8
2023-02-07,23245.9
2023-02-06,22764
2023-02-05,22936.3
2023-02-04,23328.8
2023-02-03,23430.6
2023-02-02,23493.8
2023-02-01,23705.1
2023-01-31,23150.5
2023-01-30,22832.9
2023-01-29,23783.9
2023-01-28,23013.2
2023-01-27,23081.6
2023-01-26,23015.5
2023-01-25,23059.5
2023-01-24,22636.1
2023-01-23,22946.8
2023-01-22,22714.8
2023-01-21,22770.9
2023-01-20,22680.9
2023-01-19,21084
2023-01-18,20674.2
2023-01-17,21153.2
2023-01-16,21165.1
2023-01-15,20863.6
2023-01-14,20979.7
2023-01-13,19922.9
2023-01-12,18847.7
2023-01-11,17936.7
2023-01-10,17438.7
2023-01-09,17177.9
2023-01-08,17067.5
2023-01-07,16942.8
2023-01-06,16949.3
2023-01-05,16823.6
2023-01-04,16844.4
2023-01-03,16669.4
2023-01-02,16675.8
2023-01-01,16605.1
2022-12-31,16529
2022-12-30,16600.1
2022-12-29,16633.6
2022-12-28,16539.5
2022-12-27,16698.9
2022-12-26,16917.9
2022-12-25,16829
2022-12-24,16837.5
2022-12-23,16777.2
2022-12-22,16815.6
2022-12-21,16803.3
2022-12-20,16907.5
2022-12-19,16439.7
2022-12-18,16741.1
2022-12-17,16781.6
2022-12-16,16604.6
2022-12-15,17350.2
2022-12-14,17805.7
2022-12-13,17773.1
2022-12-12,17214.5
2022-12-11,17085.2
2022-12-10,17115.6
2022-12-09,17120
2022-12-08,17253.2
2022-12-07,16841.1
2022-12-06,17087.8
2022-12-05,16964.9
2022-12-04,17131.4
2022-12-03,16906.2
2022-12-02,17093.2
2022-12-01,16958.4
2022-11-30,17173.4
2022-11-29,16432.4
2022-11-28,16206.2
2022-11-27,16420.9
2022-11-26,16452.2
2022-11-25,16498.4
2022-11-24,16585.5
2022-11-23,16600.7
2022-11-22,16147.7
2022-11-21,15760.1
2022-11-20,16252.5
2022-11-19,16683
2022-11-18,16680.4
2022-11-17,16680.4
2022-11-16,16645.2
2022-11-15,16880.7
2022-11-14,16590.7
2022-11-13,16301.3
2022-11-12,16778.1
2022-11-11,17011.5
2022-11-10,17546.8
2022-11-09,15757.2
2022-11-08,18501.2
2022-11-07,20591.9
2022-11-06,20905.9
2022-11-05,21301.2
2022-11-04,21144.2
2022-11-03,20209
2022-11-02,20150.7
2022-11-01,20481.5
2022-10-31,20491.9
2022-10-30,20631.4
2022-10-29,20822.1
2022-10-28,20609.8
2022-10-27,20294.2
2022-10-26,20775.4
2022-10-25,20086.2
2022-10-24,19330.4
2022-10-23,19572.4
2022-10-22,19206.5
2022-10-21,19173
2022-10-20,19040.8
2022-10-19,19128.3
2022-10-18,19330.2
2022-10-17,19553.5
2022-10-16,19271
2022-10-15,19054.8
2022-10-14,19195.6
2022-10-13,19378.6
2022-10-12,19153.9
2022-10-11,19043.8
2022-10-10,19139.8
2022-10-09,19442.1
2022-10-08,19419.3
2022-10-07,19531.5
2022-10-06,19965.6
2022-10-05,20170.2
2022-10-04,20345.1
2022-10-03,19633.5
2022-10-02,19059.7
2022-10-01,19315.2
2022-09-30,19452.2
2022-09-29,19592.4
2022-09-28,19395
2022-09-27,19093.9
2022-09-26,19241.5
2022-09-25,18805.1
2022-09-24,18923.2
2022-09-23,19286
2022-09-22,19432.3
2022-09-21,18465
2022-09-20,18878
2022-09-19,19569
2022-09-18,19417.6
2022-09-17,20113.3
2022-09-16,19768
2022-09-15,19703.6
2022-09-14,20227.7
2022-09-13,20173.2
2022-09-12,22402.6
2022-09-11,21784.8
2022-09-10,21679.4
2022-09-09,21372.5
2022-09-08,19329.1
2022-09-07,19293.5
2022-09-06,18815.3
2022-09-05,19794.5
2022-09-04,19982.3
2022-09-03,19835.4
2022-09-02,19931.5
2022-09-01,20146
2022-08-31,20048.2
2022-08-30,19773.5
2022-08-29,20275.6
2022-08-28,19571.3
2022-08-27,20051.5
2022-08-26,20209
2022-08-25,21591.5
2022-08-24,21368.7
2022-08-23,21515.1
2022-08-22,21398.2
2022-08-21,21510.4
2022-08-20,21158.8
2022-08-19,20834.9
2022-08-18,23189.4
2022-08-17,23341.1
2022-08-16,23857.9
2022-08-15,24097.8
2022-08-14,24316.3
2022-08-13,24461.8
2022-08-12,24412.6
2022-08-11,23941.6
2022-08-10,23948.9
2022-08-09,23150.9
2022-08-08,23797.3
2022-08-07,23177.3
2022-08-06,22960.9
2022-08-05,23288.2
2022-08-04,22623.9
2022-08-03,22825
2022-08-02,22993.7
2022-08-01,23273.8
2022-07-31,23307.2
2022-07-30,23661
2022-07-29,23784.5
2022-07-28,23851.7
2022-07-27,22949.6
2022-07-26,21222
2022-07-25,21310.2
2022-07-24,22604.4
2022-07-23,22450.6
2022-07-22,22687.6
2022-07-21,23150.8
2022-07-20,23226.9
2022-07-19,23395
2022-07-18,22442.2
2022-07-17,20790.2
2022-07-16,21195.5
2022-07-15,20827.5
2022-07-14,20553.5
2022-07-13,20173.3
2022-07-12,19301.5
2022-07-11,19942.4
2022-07-10,20848.5
2022-07-09,21583.9
2022-07-08,21780.8
2022-07-07,21644.2
2022-07-06,20541.8
2022-07-05,20169.4
2022-07-04,20235.5
2022-07-03,19291.3
2022-07-02,19224
2022-07-01,19247.3
2022-06-30,19985.6
2022-06-29,20093.5
2022-06-28,20266.9
2022-06-27,20723.6
2022-06-26,21027.9
2022-06-25,21477.7
2022-06-24,21219.5
2022-06-23,21104.4
2022-06-22,19971.2
2022-06-21,20696.9
2022-06-20,20552.8
2022-06-19,20552.4
2022-06-18,18948.8
2022-06-17,20444.5
2022-06-16,20369.9
2022-06-15,22562.3
2022-06-14,22120.2
2022-06-13,22494.3
2022-06-12,26555
2022-06-11,28356.8
2022-06-10,29063.1
2022-06-09,30079.6
2022-06-08,30177
2022-06-07,31148.3
2022-06-06,31350.3
2022-06-05,29899.6
2022-06-04,29843.1
2022-06-03,29670.8
2022-06-02,30426.1
2022-06-01,29788.7
2022-05-31,31784
2022-05-30,31705.6
2022-05-29,29447.2
2022-05-28,29008.9
2022-05-27,28576.2
2022-05-26,29321.2
2022-05-25,29503.4
2022-05-24,29646
2022-05-23,29092.3
2022-05-22,30260.8
2022-05-21,29408.2
2022-05-20,29155.7
2022-05-19,30321.6
2022-05-18,28694.2
2022-05-17,30412.1
2022-05-16,29840
2022-05-15,31280.7
2022-05-14,30068.4
2022-05-13,29232.1
2022-05-12,28941.9
2022-05-11,28989.4
2022-05-10,31004.3
2022-05-09,30078.2
2022-05-08,34027.9
2022-05-07,35458
2022-05-06,36029.2
