date,ETH_price,total_volume,market_cap,coin_name
00:00.0,0.894874771,959696.4719,67132055.61,ethereum
00:00.0,0.8707128,398595.4996,65341845.39,ethereum
00:00.0,0.917398775,465064.9387,68868768.29,ethereum
00:00.0,0.871744954,436939.1302,65463342.97,ethereum
00:00.0,0.873600932,775372.5406,65624853.97,ethereum
00:00.0,0.875003998,643109.8579,65752486.03,ethereum
00:00.0,0.822733781,494205.8928,61844779.03,ethereum
00:00.0,0.824765189,541681.1369,62018808.09,ethereum
00:00.0,0.838790951,241947.4944,63094325.08,ethereum
00:00.0,0.86458373,226084.4107,65056337.64,ethereum
00:00.0,0.834992487,429681.2895,62850264.42,ethereum
00:00.0,0.800750284,494657.618,60292476.61,ethereum
00:00.0,0.818852709,435966.8088,61675859.11,ethereum
00:00.0,0.791829348,627128.926,59661067.18,ethereum
00:00.0,0.847442242,374543.0059,63872552.28,ethereum
00:00.0,0.916738942,765839.8738,69119370.63,ethereum
00:00.0,0.97125831,1385279.044,73250296.07,ethereum
00:00.0,0.958303174,279257.6104,72302484.28,ethereum
00:00.0,0.995489835,562723.386,75133022.4,ethereum
00:00.0,1.0170637,573171.6205,76787012.6,ethereum
00:00.0,0.988912442,207316.9873,74686005.23,ethereum
00:00.0,0.940228325,641112.3505,71033582.41,ethereum
00:00.0,0.921171783,297866.3971,69616990.99,ethereum
00:00.0,0.909632917,333313.4238,68767429.85,ethereum
00:00.0,0.903231643,467489.5933,68305705.25,ethereum
00:00.0,0.896806287,543846.3978,67842615.39,ethereum
00:00.0,0.878959313,468144.5604,66514758.19,ethereum
00:00.0,0.867565455,333657.8603,65674405.65,ethereum
00:00.0,0.861363016,353090.3404,65226512,ethereum
00:00.0,0.870718344,169208.7605,65957619.84,ethereum
00:00.0,0.853017865,424123.0967,64637552.4,ethereum
00:00.0,0.858887087,208247.2187,65104495.78,ethereum
00:00.0,0.842169613,228592.5876,63858382.55,ethereum
00:00.0,0.869487811,211396.5675,65951485.16,ethereum
00:00.0,0.900354302,584414.4706,68315404.55,ethereum
00:00.0,0.936539968,668846.0704,71083912.7,ethereum
00:00.0,0.946313343,202032.1334,71849843.67,ethereum
00:00.0,0.938126162,252880.2353,71252107.97,ethereum
00:00.0,0.972196976,402755.9084,73864483.22,ethereum
00:00.0,0.959297835,341506.8214,72909192.01,ethereum
00:00.0,0.953102241,217443.2381,72462361.88,ethereum
00:00.0,0.968434012,328507.1524,73650960.93,ethereum
00:00.0,0.95897678,642269.5176,72931723.31,ethereum
00:00.0,0.995574781,554403.4018,75767382.44,ethereum
00:00.0,1.024780968,254045.6291,78016544.33,ethereum
00:00.0,1.019965856,404315.935,77676004.65,ethereum
00:00.0,1.068726621,1025253.038,81416101.64,ethereum
00:00.0,1.167362901,2962550.395,88958959.9,ethereum
00:00.0,1.129588346,1003321.36,86108971.48,ethereum
00:00.0,1.157377553,731050.8484,88257219.96,ethereum
00:00.0,1.210735463,4049516.212,92329493.83,ethereum
00:00.0,1.215691295,2377737.143,92765190.35,ethereum
00:00.0,1.321855712,1176009.007,100866229.1,ethereum
00:00.0,1.398301127,4073710.12,106770205,ethereum
00:00.0,1.376990019,1684557.291,105177492.6,ethereum
00:00.0,1.565411905,2899771.051,119608403.9,ethereum
00:00.0,1.544691862,1670627.322,118064297.8,ethereum
00:00.0,1.471341823,1585027.992,112494896.7,ethereum
00:00.0,1.692156285,2212028.797,129390552.7,ethereum
00:00.0,2.131691495,9578400.619,163090024.7,ethereum
00:00.0,2.481396086,10884776.21,189898537.8,ethereum
00:00.0,2.086782727,11669540.23,159744115.1,ethereum
00:00.0,2.384501159,7048626.219,182534589,ethereum
00:00.0,2.519719735,5043090.698,193030853.2,ethereum
00:00.0,2.486203232,6527897.662,190524391.8,ethereum
00:00.0,2.437601274,3674090.398,186862759.7,ethereum
00:00.0,2.298766557,5834817.707,176275775.7,ethereum
00:00.0,2.221883059,3991411.341,170434539.3,ethereum
00:00.0,2.403111855,3602402.308,184396131.6,ethereum
00:00.0,2.515949933,4030697.339,193120920.4,ethereum
00:00.0,2.557178944,3532651.02,196350197.9,ethereum
00:00.0,2.532878565,2640353.615,194548161,ethereum
00:00.0,2.517776369,1924574.718,193450250.5,ethereum
00:00.0,2.950776113,7099203.552,226795324.2,ethereum
00:00.0,3.165335694,9781404.737,243366581.6,ethereum
00:00.0,3.720453287,16355217.95,286139281,ethereum
00:00.0,4.427431438,29316397.61,340624194.2,ethereum
00:00.0,6.005000308,28752968.92,462140079.8,ethereum
00:00.0,5.475649284,9902598.244,421542668.5,ethereum
00:00.0,5.373284922,25637385.48,413798928.6,ethereum
00:00.0,5.169512436,11552061.71,398234915.5,ethereum
00:00.0,5.319058286,13786358.78,409885035.8,ethereum
00:00.0,4.368970122,15444552.59,336781865.3,ethereum
00:00.0,3.744022471,14847989.05,288700599.3,ethereum
00:00.0,4.397939042,17707643.87,339233532.7,ethereum
00:00.0,4.493895383,7215680.132,346746765.7,ethereum
00:00.0,4.301875678,8703306.941,332040532.3,ethereum
00:00.0,4.653970273,6458218.233,359334417.7,ethereum
00:00.0,5.608714258,15140246.89,433193897.2,ethereum
00:00.0,5.61209144,13534870.66,433593972.8,ethereum
00:00.0,6.134381259,11396482.66,474102955.5,ethereum
00:00.0,5.936257433,20614025.81,458942242.8,ethereum
00:00.0,5.897351626,9515283.257,456082096.9,ethereum
00:00.0,6.357091762,8967228.052,491795616.5,ethereum
00:00.0,6.440650849,9683081.006,498424354,ethereum
00:00.0,6.312028458,7546069.554,488620056.2,ethereum
00:00.0,7.56015705,20945587.17,585403826.4,ethereum
00:00.0,8.398318163,29743237.91,650547162.2,ethereum
00:00.0,9.504937043,40441406.85,736507630.9,ethereum
00:00.0,10.03776475,35604151.85,778040245.1,ethereum
00:00.0,10.93519774,54303350.01,847886363.8,ethereum
00:00.0,10.96466178,41487265.46,850440219.9,ethereum
00:00.0,9.397469869,31891736.92,729122199.5,ethereum
