Exchange,Volume,ds
Bitfinex,46889406.87,2023-03-04
Gemini,25662253.59,2023-03-04
Binance,10327824155,2023-03-03
Coinbase_Exchange,1609908769,2023-03-03
OKX,1088319777,2023-03-03
Gate.io,901385161.8,2023-03-03
MEXC_Global,833049566.7,2023-03-03
KuCoin,715992858.2,2023-03-03
Kraken,663045671.2,2023-03-03
Bybit,641662468.6,2023-03-03
Huobi,638666079.2,2023-03-03
Bitget,551173522.7,2023-03-03
Binance US,293190437.4,2023-03-03
Bitstamp,186918939.4,2023-03-03
Bitfinex,153177757.8,2023-03-03
Gemini,33837030.21,2023-03-03
Binance,6330761398,2023-03-02
Coinbase_Exchange,1032331689,2023-03-02
OKX,667119425.4,2023-03-02
KuCoin,615283708.7,2023-03-02
Gate.io,552532076.2,2023-03-02
Bitget,549830305.7,2023-03-02
Huobi,522842134.1,2023-03-02
Bybit,509025384.7,2023-03-02
MEXC_Global,502516996.6,2023-03-02
Kraken,461848350.1,2023-03-02
Binance US,176860160.4,2023-03-02
Bitstamp,129878933.3,2023-03-02
Bitfinex,73348489.11,2023-03-02
Gemini,18279624.19,2023-03-02
Binance,7575009694,2023-03-01
Coinbase_Exchange,1233548142,2023-03-01
OKX,798235023.5,2023-03-01
KuCoin,673718380.6,2023-03-01
Gate.io,661126903.3,2023-03-01
MEXC_Global,601281638,2023-03-01
Huobi,569632090.9,2023-03-01
Kraken,552620234.1,2023-03-01
Bitget,484904317.3,2023-03-01
Bybit,483384537.7,2023-03-01
Binance US,211620243,2023-03-01
Bitstamp,159111370.7,2023-03-01
Bitfinex,123083179.4,2023-03-01
Gemini,22173511.27,2023-03-01
Binance,6937632413,2023-02-28
Coinbase_Exchange,1196668008,2023-02-28
OKX,731069996.9,2023-02-28
KuCoin,616540444.4,2023-02-28
Gate.io,605498198.5,2023-02-28
Huobi,575496642.5,2023-02-28
MEXC_Global,550688671.4,2023-02-28
Bitget,506429615,2023-02-28
Kraken,506121495.2,2023-02-28
Bybit,481308844.9,2023-02-28
Binance US,193813897.8,2023-02-28
Bitstamp,147038646.8,2023-02-28
Bitfinex,81097034.78,2023-02-28
Gemini,21549902.69,2023-02-28
Binance,5158671866,2023-02-27
Coinbase_Exchange,870760214.1,2023-02-27
Huobi,602475801,2023-02-27
OKX,543607571,2023-02-27
KuCoin,514811303.7,2023-02-27
Gate.io,450235303.6,2023-02-27
Bitget,441549803.7,2023-02-27
MEXC_Global,421035710.6,2023-02-27
Bybit,378550807,2023-02-27
Kraken,376340819.5,2023-02-27
Binance US,148182803.8,2023-02-27
Bitstamp,114078058.8,2023-02-27
Bitfinex,83721632.9,2023-02-27
Gemini,13675350.31,2023-02-27
Binance,4057379170,2023-02-26
Coinbase_Exchange,757269910.8,2023-02-26
Bitget,524520944.4,2023-02-26
Huobi,473857023.8,2023-02-26
KuCoin,464968136.3,2023-02-26
OKX,427556325.4,2023-02-26
Gate.io,354117415.3,2023-02-26
MEXC_Global,322062746.5,2023-02-26
Kraken,287578856.9,2023-02-26
Bybit,274010215.1,2023-02-26
Binance US,113349560.3,2023-02-26
Bitfinex,60440211.66,2023-02-26
Bitstamp,44012338.93,2023-02-26
Gemini,9124662.112,2023-02-26
Binance,8055999326,2023-02-25
Coinbase_Exchange,1287308910,2023-02-25
OKX,848920642.4,2023-02-25
KuCoin,745922260,2023-02-25
Bitget,706752035,2023-02-25
Gate.io,703106402.6,2023-02-25
MEXC_Global,639461321.3,2023-02-25
Huobi,598153135.9,2023-02-25
Kraken,575184339.6,2023-02-25
Bybit,498084661.9,2023-02-25
Binance US,225057404.7,2023-02-25
Bitstamp,131126700.8,2023-02-25
Bitfinex,127966508,2023-02-25
Gemini,26953177.03,2023-02-25
Binance,7735292228,2023-02-24
Coinbase_Exchange,1310587809,2023-02-24
OKX,815125252.7,2023-02-24
Bitget,686943034.4,2023-02-24
Gate.io,664247146.2,2023-02-24
KuCoin,663929815,2023-02-24
MEXC_Global,611410768.1,2023-02-24
Kraken,564313395.9,2023-02-24
Huobi,505067212.9,2023-02-24
Bybit,463470010.3,2023-02-24
Binance US,215185077.4,2023-02-24
Bitfinex,137415458,2023-02-24
Bitstamp,111276309.9,2023-02-24
Gemini,23128808.5,2023-02-24
Binance,9287973477,2023-02-23
Coinbase_Exchange,1771119633,2023-02-23
OKX,978742888.9,2023-02-23
KuCoin,884700240.5,2023-02-23
Bitget,839691646.3,2023-02-23
Gate.io,810629807.2,2023-02-23
MEXC_Global,742238585.6,2023-02-23
Kraken,677586218.5,2023-02-23
Bybit,581802297.9,2023-02-23
Huobi,542737159.8,2023-02-23
Binance US,261229792.4,2023-02-23
Bitfinex,159044856.9,2023-02-23
Bitstamp,136563882.5,2023-02-23
Gemini,31378967.04,2023-02-23
Binance,9194409374,2023-02-22
Coinbase_Exchange,1733189585,2023-02-22
OKX,968883346.6,2023-02-22
KuCoin,916191198.6,2023-02-22
Bitget,805124721.1,2023-02-22
Gate.io,802463611.2,2023-02-22
MEXC_Global,729824719.2,2023-02-22
Kraken,670760383,2023-02-22
Huobi,548592999.8,2023-02-22
Bybit,541440090.7,2023-02-22
Binance US,256860801.5,2023-02-22
Bitfinex,234670329.3,2023-02-22
Bitstamp,159566472.6,2023-02-22
Gemini,32725379.39,2023-02-22
Binance,8749806418,2023-02-21
Coinbase_Exchange,1506180130,2023-02-21
OKX,922032309.3,2023-02-21
KuCoin,913859924.5,2023-02-21
Bitget,771612617.2,2023-02-21
Gate.io,763660068.6,2023-02-21
MEXC_Global,694533670.8,2023-02-21
Kraken,638325112.3,2023-02-21
Bybit,515147606.5,2023-02-21
Huobi,490353931.7,2023-02-21
Binance US,244440071.1,2023-02-21
Bitstamp,155850532.7,2023-02-21
Bitfinex,155375371.1,2023-02-21
Gemini,21134339.14,2023-02-21
Binance,9329552614,2023-02-20
Coinbase_Exchange,1763470674,2023-02-20
KuCoin,1069149266,2023-02-20
OKX,1007042191,2023-02-20
Gate.io,814258586.2,2023-02-20
Bitget,801951618.6,2023-02-20
MEXC_Global,758568587.1,2023-02-20
Bybit,570183172.8,2023-02-20
Kraken,563568712.8,2023-02-20
Huobi,530632316.5,2023-02-20
Binance US,266977116,2023-02-20
Bitstamp,182912940.6,2023-02-20
Bitfinex,168561947.1,2023-02-20
Binance,4765684874,2023-02-19
Coinbase_Exchange,899230394.3,2023-02-19
Bitget,646367977,2023-02-19
KuCoin,546138671.7,2023-02-19
OKX,502195578,2023-02-19
Gate.io,415936298.5,2023-02-19
MEXC_Global,378285779.6,2023-02-19
Huobi,364872327.5,2023-02-19
Bybit,277016332.2,2023-02-19
Kraken,269780625.9,2023-02-19
Binance US,133137192.3,2023-02-19
Bitfinex,84718988.27,2023-02-19
Bitstamp,50901874.15,2023-02-19
Binance,9383782704,2023-02-18
Coinbase_Exchange,1526515080,2023-02-18
Bitget,1012196275,2023-02-18
OKX,988838975.7,2023-02-18
KuCoin,984367197.1,2023-02-18
Gate.io,818991654.4,2023-02-18
MEXC_Global,744856695.3,2023-02-18
Kraken,684575829.2,2023-02-18
Bybit,542807003.4,2023-02-18
Huobi,537829496.7,2023-02-18
Binance US,262151066.2,2023-02-18
Bitfinex,194694229.1,2023-02-18
Bitstamp,130527825.2,2023-02-18
Gemini,29184498.62,2023-02-18
Binance,14217596212,2023-02-17
OKX,1498213822,2023-02-17
KuCoin,1155388771,2023-02-17
MEXC_Global,1128550512,2023-02-17
Bitget,1087010278,2023-02-17
Kraken,1037217172,2023-02-17
Gate.io,1033916214,2023-02-17
Bybit,776775407.6,2023-02-17
Huobi,634042993.1,2023-02-17
Binance US,397191608.4,2023-02-17
Bitfinex,205400877.1,2023-02-17
Bitstamp,178604511.6,2023-02-17
Gemini,46075838.5,2023-02-17
Binance,14723939332,2023-02-16
Coinbase_Exchange,2362984282,2023-02-16
OKX,1551571010,2023-02-16
KuCoin,1236937020,2023-02-16
MEXC_Global,1168742471,2023-02-16
Kraken,1074156631,2023-02-16
Gate.io,951888245.2,2023-02-16
Bitget,932573437.4,2023-02-16
Bybit,785122172.3,2023-02-16
Huobi,663414616.8,2023-02-16
Binance US,411337056.8,2023-02-16
Bitfinex,213366813.2,2023-02-16
Bitstamp,191475850.5,2023-02-16
Gemini,47865846.9,2023-02-16
Binance,9588084538,2023-02-15
Coinbase_Exchange,1547401541,2023-02-15
OKX,1010367790,2023-02-15
KuCoin,966522388.8,2023-02-15
Bitget,878642122.2,2023-02-15
Gate.io,836822754.6,2023-02-15
MEXC_Global,761073641.2,2023-02-15
Kraken,699480120.5,2023-02-15
Huobi,461131609.2,2023-02-15
Bybit,458835042.9,2023-02-15
Binance US,267858648,2023-02-15
Bitstamp,140776894.5,2023-02-15
Bitfinex,126421818.1,2023-02-15
Gemini,28751370.3,2023-02-15
Binance,8955593655,2023-02-14
Coinbase_Exchange,1247910297,2023-02-14
OKX,943717625.1,2023-02-14
KuCoin,748867653.4,2023-02-14
MEXC_Global,710868242,2023-02-14
Kraken,653337915.8,2023-02-14
Bitget,653112897.2,2023-02-14
Gate.io,609441886.4,2023-02-14
Huobi,376518512.7,2023-02-14
Bybit,333801110.6,2023-02-14
Binance US,250189087.2,2023-02-14
Bitstamp,198042449.8,2023-02-14
Bitfinex,126883267.1,2023-02-14
Gemini,24019534.69,2023-02-14
Binance,7743342878,2023-02-13
Coinbase_Exchange,1263418848,2023-02-13
MEXC_Global,1124006503,2023-02-13
OKX,840089568.9,2023-02-13
KuCoin,772271948.5,2023-02-13
Gate.io,678659943,2023-02-13
Bitget,579654546.4,2023-02-13
Kraken,539013083.7,2023-02-13
Huobi,365480670.9,2023-02-13
Bybit,335256262.9,2023-02-13
Binance US,252407674.8,2023-02-13
Bitfinex,165105915.3,2023-02-13
Bitstamp,145498461.5,2023-02-13
Gemini,18034002.76,2023-02-13
Binance,3745397160,2023-02-12
Coinbase_Exchange,610970648.4,2023-02-12
Bitget,545122565.7,2023-02-12
MEXC_Global,543673537.6,2023-02-12
Gate.io,408489044.5,2023-02-12
OKX,406345114.6,2023-02-12
KuCoin,382650895.2,2023-02-12
Huobi,275426765.5,2023-02-12
Kraken,215153909.4,2023-02-12
Bybit,177536210.4,2023-02-12
Binance US,122087744.8,2023-02-12
Bitfinex,50895192.06,2023-02-12
Bitstamp,46184644.37,2023-02-12
Gemini,8628363.401,2023-02-12
Binance,6384764330,2023-02-11
Coinbase_Exchange,1046636910,2023-02-11
MEXC_Global,926798214,2023-02-11
Bitget,713900396.3,2023-02-11
OKX,692694867.3,2023-02-11
KuCoin,636056174.5,2023-02-11
Gate.io,573644503.9,2023-02-11
Kraken,392128710.2,2023-02-11
Huobi,319067371.3,2023-02-11
Bybit,260413446.9,2023-02-11
Binance US,208122334.8,2023-02-11
Bitfinex,119750111.7,2023-02-11
Bitstamp,69958287.17,2023-02-11
Gemini,25300416.82,2023-02-11
Binance,10778206745,2023-02-10
Coinbase_Exchange,1830002302,2023-02-10
MEXC_Global,1564540509,2023-02-10
OKX,1169347580,2023-02-10
KuCoin,1054150250,2023-02-10
Gate.io,811890996.4,2023-02-10
Bitget,781935241.3,2023-02-10
Kraken,751122723.5,2023-02-10
Bybit,498905236.7,2023-02-10
Huobi,484625494.5,2023-02-10
Binance US,351334172.5,2023-02-10
Bitfinex,219558745.5,2023-02-10
Bitstamp,152224427.7,2023-02-10
Gemini,35114852.61,2023-02-10
Binance,10042309446,2023-02-09
Coinbase_Exchange,1602687472,2023-02-09
MEXC_Global,1457719372,2023-02-09
OKX,1089508796,2023-02-09
KuCoin,982179567.3,2023-02-09
Gate.io,729100527.3,2023-02-09
Bitget,658944648.8,2023-02-09
Kraken,657316806.6,2023-02-09
Huobi,425122907,2023-02-09
Bybit,411739134.9,2023-02-09
Binance US,327346295.6,2023-02-09
Bitfinex,184218423.9,2023-02-09
Bitstamp,137474016.7,2023-02-09
Gemini,35045614.6,2023-02-09
Binance,8483266032,2023-02-08
Coinbase_Exchange,1613475880,2023-02-08
MEXC_Global,1231412001,2023-02-08
OKX,920365283.5,2023-02-08
KuCoin,866698275.6,2023-02-08
Gate.io,714393113.1,2023-02-08
Bitget,620733919.3,2023-02-08
Kraken,590519063.6,2023-02-08
Huobi,445619066.1,2023-02-08
Bybit,379296814.7,2023-02-08
Binance US,276526538.4,2023-02-08
Bitstamp,155545412.9,2023-02-08
Bitfinex,129748114.7,2023-02-08
Gemini,25829398.13,2023-02-08
Binance,6694016188,2023-02-07
Coinbase_Exchange,1188823385,2023-02-07
MEXC_Global,971688445.7,2023-02-07
OKX,726246235.5,2023-02-07
KuCoin,683898398.4,2023-02-07
Gate.io,610834073.1,2023-02-07
Bitget,581204749.5,2023-02-07
Kraken,465969674.4,2023-02-07
Huobi,389429001.4,2023-02-07
Bybit,280010176.5,2023-02-07
Binance US,218202990.7,2023-02-07
Bitstamp,126458132.7,2023-02-07
Bitfinex,69066617.67,2023-02-07
Gemini,26558273.51,2023-02-07
Binance,6665402052,2023-02-06
Coinbase_Exchange,1113374021,2023-02-06
MEXC_Global,967534954.5,2023-02-06
OKX,723141814.3,2023-02-06
KuCoin,680318209,2023-02-06
Gate.io,615908522.7,2023-02-06
Bitget,599359277.7,2023-02-06
Kraken,463977820.6,2023-02-06
Huobi,333993169.1,2023-02-06
Bybit,304126645,2023-02-06
Bitstamp,153056491.8,2023-02-06
Bitfinex,104251729.4,2023-02-06
Binance US,57092509.95,2023-02-06
Gemini,15657880.73,2023-02-06
Binance,4870065918,2023-02-05
Coinbase_Exchange,899806632.2,2023-02-05
MEXC_Global,706927989.3,2023-02-05
Bitget,573323353.4,2023-02-05
OKX,528362523.2,2023-02-05
Gate.io,522793172.1,2023-02-05
KuCoin,497553341.9,2023-02-05
Huobi,348157213.3,2023-02-05
Kraken,300074283.4,2023-02-05
Bybit,245341828.4,2023-02-05
Binance US,158748059.2,2023-02-05
Bitfinex,81973423.21,2023-02-05
Bitstamp,61609556.21,2023-02-05
Gemini,13429756.04,2023-02-05
Binance,6604042937,2023-02-04
Coinbase_Exchange,1117918643,2023-02-04
MEXC_Global,958628120.6,2023-02-04
OKX,716484867.8,2023-02-04
Bitget,708485206.4,2023-02-04
KuCoin,674706328.8,2023-02-04
Kraken,459706628.4,2023-02-04
Gate.io,455462705.2,2023-02-04
Huobi,342551630,2023-02-04
Bybit,286598829,2023-02-04
Binance US,215270079.8,2023-02-04
Bitstamp,94044604.78,2023-02-04
Bitfinex,91217826.2,2023-02-04
Gemini,21111651.79,2023-02-04
Binance,10149421118,2023-02-03
Coinbase_Exchange,1535850005,2023-02-03
MEXC_Global,1473267358,2023-02-03
OKX,1101129594,2023-02-03
KuCoin,873763240,2023-02-03
Bitget,726729722.3,2023-02-03
Kraken,706499868.9,2023-02-03
Gate.io,537684914.4,2023-02-03
Bybit,449637672.3,2023-02-03
Huobi,386567230.3,2023-02-03
Binance US,330837939.1,2023-02-03
Bitfinex,195828781.1,2023-02-03
Bitstamp,162111653.3,2023-02-03
Gemini,28882688.43,2023-02-03
Binance,11981135221,2023-02-02
Coinbase_Exchange,2080757065,2023-02-02
MEXC_Global,1739154956,2023-02-02
OKX,1299855451,2023-02-02
KuCoin,1066437372,2023-02-02
Kraken,834005452.1,2023-02-02
Bitget,720716014.1,2023-02-02
Gate.io,579067452.5,2023-02-02
Bybit,558345771,2023-02-02
Huobi,460961494,2023-02-02
Binance US,390545598.2,2023-02-02
Bitfinex,258321727.6,2023-02-02
Bitstamp,210969016.1,2023-02-02
Gemini,40847059.04,2023-02-02
Binance,6939975371,2023-02-01
Coinbase_Exchange,1493115193,2023-02-01
MEXC_Global,1007391475,2023-02-01
OKX,752930725.3,2023-02-01
KuCoin,626503691.8,2023-02-01
Bitget,525793979.3,2023-02-01
Kraken,483090736,2023-02-01
Gate.io,388971796,2023-02-01
Huobi,324955862,2023-02-01
Bybit,290663328,2023-02-01
Binance US,226220424,2023-02-01
Bitstamp,128508281.5,2023-02-01
Bitfinex,126431885.5,2023-02-01
Gemini,23366444.35,2023-02-01
Binance,8285682923,2023-01-31
Coinbase_Exchange,1932131470,2023-01-31
MEXC_Global,1202731398,2023-01-31
OKX,898929055.6,2023-01-31
KuCoin,726171260.3,2023-01-31
Kraken,576765383.7,2023-01-31
Bitget,522673102.9,2023-01-31
Gate.io,443172381.2,2023-01-31
Bybit,393694994.8,2023-01-31
Huobi,319800873.7,2023-01-31
Binance US,270086169.6,2023-01-31
Bitstamp,155481577.6,2023-01-31
Bitfinex,139946150.5,2023-01-31
Gemini,28854736.12,2023-01-31
Binance,8640932384,2023-01-30
Coinbase_Exchange,1911873557,2023-01-30
MEXC_Global,1190499444,2023-01-30
OKX,937470758.1,2023-01-30
KuCoin,797434218.1,2023-01-30
Kraken,512360369.4,2023-01-30
Bitget,497243018,2023-01-30
Gate.io,485229576.2,2023-01-30
Bybit,404657528.8,2023-01-30
Huobi,335422744.2,2023-01-30
Binance US,281666155.3,2023-01-30
Bitfinex,225307420.3,2023-01-30
Bitstamp,172790454.7,2023-01-30
Gemini,25363301.99,2023-01-30
Binance,5499354090,2023-01-29
Coinbase_Exchange,1147651466,2023-01-29
MEXC_Global,798274012.7,2023-01-29
OKX,596635055.8,2023-01-29
KuCoin,561845025.9,2023-01-29
Bitget,473049949.5,2023-01-29
Gate.io,363400877.1,2023-01-29
Huobi,339150439.6,2023-01-29
Bybit,291035165.2,2023-01-29
Kraken,264124154.3,2023-01-29
Binance US,179260931.8,2023-01-29
Bitfinex,152689117.5,2023-01-29
Bitstamp,71242358.68,2023-01-29
Gemini,13711080.67,2023-01-29
Binance,6706225148,2023-01-28
Coinbase_Exchange,1569429457,2023-01-28
MEXC_Global,973460772.8,2023-01-28
OKX,727570839.1,2023-01-28
KuCoin,685145878.9,2023-01-28
Bitget,471181125.5,2023-01-28
Kraken,466819417.1,2023-01-28
Gate.io,450109482.7,2023-01-28
Bybit,341881493.9,2023-01-28
Huobi,341667999.7,2023-01-28
Binance US,218601019.8,2023-01-28
Bitfinex,142198810.3,2023-01-28
Bitstamp,91909460.28,2023-01-28
Gemini,23581691.25,2023-01-28
Binance,7824277253,2023-01-27
Coinbase_Exchange,1695637889,2023-01-27
MEXC_Global,1135754776,2023-01-27
OKX,848870211.5,2023-01-27
KuCoin,726394428.3,2023-01-27
Bitget,584069116.9,2023-01-27
Kraken,544647071.1,2023-01-27
Gate.io,451728092.6,2023-01-27
Bybit,358494329.3,2023-01-27
Huobi,323853807.3,2023-01-27
Binance US,255045741.9,2023-01-27
Bitstamp,137502350.4,2023-01-27
Bitfinex,99964892.56,2023-01-27
Gemini,21461455.33,2023-01-27
Binance,10424693547,2023-01-26
Coinbase_Exchange,2362261114,2023-01-26
MEXC_Global,1513225473,2023-01-26
OKX,1130994301,2023-01-26
KuCoin,952463430,2023-01-26
Kraken,719638861.4,2023-01-26
Bitget,582626959.1,2023-01-26
Gate.io,565298588.4,2023-01-26
Bybit,517270161.1,2023-01-26
Huobi,354373820.2,2023-01-26
Binance US,339810762.5,2023-01-26
Bitfinex,201994678.5,2023-01-26
Bitstamp,177691573.9,2023-01-26
Gemini,35366435.69,2023-01-26
Binance,9088895106,2023-01-25
Coinbase_Exchange,2274249292,2023-01-25
MEXC_Global,1319323891,2023-01-25
OKX,986071120.1,2023-01-25
KuCoin,774377104.6,2023-01-25
Kraken,632676990.3,2023-01-25
Bitget,528618123.1,2023-01-25
Gate.io,490618863.7,2023-01-25
Bybit,414159946.3,2023-01-25
Huobi,339109120.5,2023-01-25
Binance US,296268105.6,2023-01-25
Bitstamp,162672089.2,2023-01-25
Bitfinex,158547940.6,2023-01-25
Gemini,27618031.27,2023-01-25
Binance,9140701874,2023-01-24
Coinbase_Exchange,2166476251,2023-01-24
MEXC_Global,1294139937,2023-01-24
OKX,991691624.2,2023-01-24
KuCoin,748777251.3,2023-01-24
Bitget,628936030.5,2023-01-24
Kraken,619664864.8,2023-01-24
Gate.io,577262858.8,2023-01-24
Bybit,445877556.2,2023-01-24
Huobi,361694594.6,2023-01-24
Binance US,298560117.3,2023-01-24
Bitstamp,193932571.8,2023-01-24
Bitfinex,164221624.2,2023-01-24
Gemini,29839685.15,2023-01-24
Binance,8900976289,2023-01-23
Coinbase_Exchange,1984417996,2023-01-23
MEXC_Global,1292045866,2023-01-23
OKX,965683371.8,2023-01-23
KuCoin,909374091.8,2023-01-23
Gate.io,655070257.3,2023-01-23
Kraken,610224476.2,2023-01-23
Bitget,553096064.9,2023-01-23
Bybit,450399337.9,2023-01-23
Huobi,408230177.1,2023-01-23
Binance US,290142597.1,2023-01-23
Bitstamp,204391633.9,2023-01-23
Bitfinex,160564799.9,2023-01-23
Gemini,20910569.2,2023-01-23
Binance,8823676324,2023-01-22
Coinbase_Exchange,1753747702,2023-01-22
MEXC_Global,1111610289,2023-01-22
OKX,957297065.4,2023-01-22
KuCoin,794208850.1,2023-01-22
Bitget,577575814.3,2023-01-22
Gate.io,569534875.2,2023-01-22
Bybit,455544541.7,2023-01-22
Kraken,399863688.3,2023-01-22
Huobi,307519608.8,2023-01-22
Binance US,287623007.8,2023-01-22
Bitfinex,129891348.1,2023-01-22
Bitstamp,95332359.74,2023-01-22
Gemini,16262972.05,2023-01-22
Binance,13700834177,2023-01-21
Coinbase_Exchange,2749288872,2023-01-21
OKX,1486428855,2023-01-21
MEXC_Global,1461162391,2023-01-21
KuCoin,1194498965,2023-01-21
Gate.io,867197955.5,2023-01-21
Bybit,702862893.5,2023-01-21
Kraken,700579121.9,2023-01-21
Bitget,564946750.2,2023-01-21
Binance US,448140790.4,2023-01-21
Huobi,438054055.7,2023-01-21
Bitfinex,324793915.5,2023-01-21
Bitstamp,236989558.2,2023-01-21
Gemini,44850150.69,2023-01-21
Binance,6587843703,2023-01-20
Coinbase_Exchange,1642722189,2023-01-20
MEXC_Global,791007337.2,2023-01-20
OKX,714727261.3,2023-01-20
KuCoin,555033745,2023-01-20
Gate.io,541217477.8,2023-01-20
Bitget,475918038,2023-01-20
Kraken,458579059.3,2023-01-20
Huobi,303612016.4,2023-01-20
Bybit,278822283.4,2023-01-20
Binance US,214742000.4,2023-01-20
Bitstamp,151275408.2,2023-01-20
Bitfinex,85916708.22,2023-01-20
Gemini,23350617.58,2023-01-20
Binance,10718280755,2023-01-19
Coinbase_Exchange,2218024039,2023-01-19
MEXC_Global,1555841905,2023-01-19
OKX,1162846079,2023-01-19
KuCoin,836477744.6,2023-01-19
Kraken,746098207.1,2023-01-19
Gate.io,690645994.7,2023-01-19
Bybit,507760156.4,2023-01-19
Bitget,506275913.5,2023-01-19
Huobi,409975831.4,2023-01-19
Binance US,349380752.7,2023-01-19
Bitstamp,224452748.5,2023-01-19
Bitfinex,220368897.2,2023-01-19
Gemini,39010968.33,2023-01-19
Binance,8123591734,2023-01-18
Coinbase_Exchange,1967122325,2023-01-18
MEXC_Global,1156769380,2023-01-18
OKX,864576886,2023-01-18
KuCoin,710381562.2,2023-01-18
Kraken,565482349.4,2023-01-18
Gate.io,503849088.7,2023-01-18
Bitget,478175221.3,2023-01-18
Bybit,388084564.9,2023-01-18
Huobi,373015801.8,2023-01-18
Binance US,264802490.6,2023-01-18
Bitstamp,152563130.1,2023-01-18
Bitfinex,133817084.4,2023-01-18
Gemini,27705960.25,2023-01-18
Binance,8378509761,2023-01-17
Coinbase_Exchange,1939966497,2023-01-17
MEXC_Global,1067743629,2023-01-17
OKX,908999973.5,2023-01-17
KuCoin,668750465.3,2023-01-17
Gate.io,589103710.9,2023-01-17
Kraken,583227076.1,2023-01-17
Bitget,480748254.9,2023-01-17
Bybit,416758939.4,2023-01-17
Huobi,371922133.1,2023-01-17
Binance US,273111829.9,2023-01-17
Bitstamp,172130774.6,2023-01-17
Bitfinex,162291588.3,2023-01-17
Gemini,25896171.03,2023-01-17
Binance,5924416256,2023-01-16
Coinbase_Exchange,2127571979,2023-01-16
MEXC_Global,859975116.9,2023-01-16
Gate.io,687965974.3,2023-01-16
OKX,642750795.5,2023-01-16
KuCoin,605271814.2,2023-01-16
Bitget,470184173.6,2023-01-16
Bybit,463946527.2,2023-01-16
Huobi,420530609.4,2023-01-16
Kraken,412397908,2023-01-16
Binance US,193116514.9,2023-01-16
Bitfinex,178067904.1,2023-01-16
Bitstamp,136041415.6,2023-01-16
Gemini,23120295.5,2023-01-16
Binance,9597060728,2023-01-15
Coinbase_Exchange,1918259327,2023-01-15
MEXC_Global,910779978.5,2023-01-15
OKX,905636920.5,2023-01-15
KuCoin,642761234.2,2023-01-15
Gate.io,582669569,2023-01-15
Bitget,451446867.4,2023-01-15
Bybit,405525283.8,2023-01-15
Huobi,371917938.6,2023-01-15
Kraken,346109867,2023-01-15
Binance US,313353955.4,2023-01-15
Bitfinex,170075019.4,2023-01-15
Bitstamp,106693441,2023-01-15
Gemini,21968317.39,2023-01-15
Binance,21488347253,2023-01-14
Coinbase_Exchange,3944164461,2023-01-14
OKX,2029779340,2023-01-14
MEXC_Global,1841706350,2023-01-14
KuCoin,1340207934,2023-01-14
Kraken,952264360.4,2023-01-14
Bybit,859630766.2,2023-01-14
Gate.io,779586975.1,2023-01-14
Huobi,758039179.2,2023-01-14
Binance US,702311847.5,2023-01-14
Bitget,478708163.9,2023-01-14
Bitfinex,380807224,2023-01-14
Bitstamp,326870030.3,2023-01-14
Gemini,59164271.66,2023-01-14
Binance,13168530960,2023-01-12
Coinbase_Exchange,2346028205,2023-01-12
MEXC_Global,1633064989,2023-01-12
OKX,1242662490,2023-01-12
Kraken,777218491.2,2023-01-12
KuCoin,642543783.3,2023-01-12
Bitget,573897663.8,2023-01-12
Bybit,467307679.5,2023-01-12
Huobi,456065960.7,2023-01-12
Gate.io,432259397.7,2023-01-12
Binance US,365714949.5,2023-01-12
Bitfinex,233367098.5,2023-01-12
Bitstamp,185883852.1,2023-01-12
Gemini,34113514.57,2023-01-12
Binance,7033947754,2023-01-11
Coinbase_Exchange,1436686997,2023-01-11
MEXC_Global,673834340.3,2023-01-11
OKX,663765967.6,2023-01-11
Kraken,522393819.4,2023-01-11
Bitget,454398001.8,2023-01-11
KuCoin,368018314.9,2023-01-11
Huobi,351070421.5,2023-01-11
Gate.io,305169340,2023-01-11
Bybit,262642897.6,2023-01-11
Binance US,229665599,2023-01-11
Bitstamp,115610423.9,2023-01-11
Bitfinex,108657946.5,2023-01-11
Gemini,20307906.35,2023-01-11
Binance,8279715392,2023-01-10
Coinbase_Exchange,1774624782,2023-01-10
OKX,781324113.2,2023-01-10
MEXC_Global,611183430.4,2023-01-10
Kraken,554564668.1,2023-01-10
Bitget,501763506,2023-01-10
KuCoin,469110444.1,2023-01-10
Huobi,393336206,2023-01-10
Gate.io,375672255.2,2023-01-10
Bybit,299520088.1,2023-01-10
Binance US,270341211.5,2023-01-10
Bitstamp,136086004.9,2023-01-10
Bitfinex,128140178,2023-01-10
Gemini,22102631.45,2023-01-10
Binance,7549758995,2023-01-09
Coinbase_Exchange,1667700179,2023-01-09
MEXC_Global,936265897.7,2023-01-09
OKX,706909139.2,2023-01-09
KuCoin,472441709.3,2023-01-09
Kraken,465591433.2,2023-01-09
Bitget,463685641.9,2023-01-09
Gate.io,402898467.9,2023-01-09
Huobi,397305129.6,2023-01-09
Bybit,281561134.6,2023-01-09
Binance US,246507497.6,2023-01-09
Bitfinex,133793558.6,2023-01-09
Bitstamp,124088396.2,2023-01-09
Gemini,19355217.2,2023-01-09
Binance,1705642489,2023-01-08
Coinbase_Exchange,481683462.2,2023-01-08
Huobi,261057658,2023-01-08
MEXC_Global,211521377.6,2023-01-08
KuCoin,184011236.2,2023-01-08
OKX,160954707.9,2023-01-08
Gate.io,148755894.4,2023-01-08
Bitget,137439231.1,2023-01-08
Kraken,110378550.9,2023-01-08
Bybit,98395065.38,2023-01-08
Binance US,55691001.51,2023-01-08
